client_id,client_name,client_type,sector,sector_risk,country,pep_flag,sanctions_flag,fatf_country_flag,ofac_country_flag,sectoral_sanctions_flag,ownership_opacity_score
1,Wells-Turner,Financial Institution,NGO/Charity,High,JP,0,0,0,0,0,0.0
2,"Goodman, Hendrix and Garcia",Financial Institution,Import/Export,Medium,CH,0,0,0,0,0,0.0
3,Phillips-Hanson,NGO,NGO/Charity,High,AE,0,1,0,0,0,0.5
4,"Kim, Anderson and Espinoza",Financial Institution,Defense/Arms,High,RU,1,0,0,1,1,0.0
5,Marks-Thompson,Financial Institution,Financial Services,Medium,AU,0,0,0,0,1,0.0
6,Jones Inc,Corporate,NGO/Charity,High,AE,0,0,0,0,0,1.0
7,Lambert-Ruiz,Individual,Energy/Oil,High,US,0,0,0,0,1,0.0
8,Thompson Inc,NGO,Consulting,Low,CA,0,0,0,0,0,0.0
9,Vega-Randall,NGO,Financial Services,Medium,US,0,0,0,0,1,1.0
10,Edwards PLC,Corporate,Casino/Gambling,High,SY,0,0,0,1,0,0.5
11,Solis-Kemp,NGO,NGO/Charity,High,AF,0,0,0,0,0,0.0
12,Stein-Davis,NGO,Import/Export,Medium,SD,0,0,0,1,0,0.5
13,Gonzalez-Jenkins,Financial Institution,Retail,Low,NL,0,0,0,0,0,0.0
14,Harris-Walker,Individual,Real Estate,Medium,RU,0,0,0,1,0,0.0
15,"Adkins, Howard and Mcdonald",Corporate,Energy/Oil,High,SG,0,0,0,0,1,0.0
16,Estrada Ltd,Financial Institution,Energy/Oil,High,IR,0,0,1,1,1,0.0
17,"Stein, Webb and Smith",Financial Institution,Defense/Arms,High,NL,0,0,0,0,1,0.0
18,"Christian, Shepard and Wells",Financial Institution,Tech,Low,AE,1,0,0,0,0,0.0
19,"James, Allen and Kim",Financial Institution,Defense/Arms,High,IN,0,0,0,0,1,0.0
20,"Martinez, Griffin and Cox",Individual,Energy/Oil,High,DE,0,0,0,0,1,0.0
21,Randall-Jones,Corporate,Consulting,Low,JP,0,0,0,0,0,0.5
22,"Silva, Cherry and Klein",Individual,Casino/Gambling,High,UK,0,0,0,0,0,0.0
23,Williams-Phillips,NGO,Financial Services,Medium,FR,0,0,0,0,1,0.5
24,"Frost, Hill and Kaufman",Corporate,Casino/Gambling,High,SY,0,0,0,1,0,0.0
25,Shields PLC,Financial Institution,Crypto Exchange,High,SG,0,0,0,0,0,0.0
26,Calderon Group,NGO,Crypto Exchange,High,IR,0,0,1,1,0,0.0
27,"Bush, Stephens and York",Financial Institution,Energy/Oil,High,LB,0,0,0,0,1,0.0
28,Villegas-Bishop,Financial Institution,Real Estate,Medium,IR,0,0,1,1,0,0.0
29,Smith-Miller,Corporate,Import/Export,Medium,RU,0,0,0,1,0,0.0
30,"Moore, Ballard and Adams",NGO,Casino/Gambling,High,IR,0,0,1,1,0,1.0
31,Brown Inc,NGO,Casino/Gambling,High,LB,0,0,0,0,0,0.0
32,Murray PLC,Financial Institution,Financial Services,Medium,FR,0,0,0,0,1,0.0
33,Moss Ltd,Corporate,Real Estate,Medium,RU,0,0,0,1,0,0.0
34,Williams-Lawson,Financial Institution,Financial Services,Medium,AF,0,0,0,0,1,0.0
35,Washington-Johnson,Financial Institution,NGO/Charity,High,IR,0,0,1,1,0,0.0
36,"Olson, Evans and Thomas",Individual,Crypto Exchange,High,IN,0,0,0,0,0,0.0
37,"Miller, Berg and Rice",NGO,Energy/Oil,High,SD,0,0,0,1,1,0.0
